2023-10-17 12:22:04.098 +06:00 [INF] Application Starting up
2023-10-17 12:26:53.285 +06:00 [INF] queue empty : "2023-10-17T12:26:53.2859120+06:00"
2023-10-17 12:27:03.299 +06:00 [INF] Worker running at: "2023-10-17T12:27:03.2990331+06:00"
2023-10-17 12:27:03.299 +06:00 [INF] queue empty : "2023-10-17T12:27:03.2992382+06:00"
2023-10-17 12:27:13.314 +06:00 [INF] Worker running at: "2023-10-17T12:27:13.3140100+06:00"
2023-10-17 12:27:13.314 +06:00 [INF] queue empty : "2023-10-17T12:27:13.3142717+06:00"
2023-10-17 12:27:23.315 +06:00 [INF] Worker running at: "2023-10-17T12:27:23.3158932+06:00"
2023-10-17 12:27:23.316 +06:00 [INF] queue empty : "2023-10-17T12:27:23.3159951+06:00"
2023-10-17 12:27:33.317 +06:00 [INF] Worker running at: "2023-10-17T12:27:33.3170637+06:00"
2023-10-17 12:27:33.317 +06:00 [INF] queue empty : "2023-10-17T12:27:33.3172082+06:00"
2023-10-17 12:27:43.331 +06:00 [INF] Worker running at: "2023-10-17T12:27:43.3316566+06:00"
2023-10-17 12:27:43.331 +06:00 [INF] queue empty : "2023-10-17T12:27:43.3317271+06:00"
2023-10-17 12:27:53.332 +06:00 [INF] Worker running at: "2023-10-17T12:27:53.3323239+06:00"
2023-10-17 12:27:53.332 +06:00 [INF] queue empty : "2023-10-17T12:27:53.3324251+06:00"
2023-10-17 12:28:03.343 +06:00 [INF] Worker running at: "2023-10-17T12:28:03.3434332+06:00"
2023-10-17 12:28:03.343 +06:00 [INF] queue empty : "2023-10-17T12:28:03.3436059+06:00"
2023-10-17 12:28:13.357 +06:00 [INF] Worker running at: "2023-10-17T12:28:13.3569997+06:00"
2023-10-17 12:28:13.357 +06:00 [INF] queue empty : "2023-10-17T12:28:13.3570884+06:00"
2023-10-17 12:28:23.365 +06:00 [INF] Worker running at: "2023-10-17T12:28:23.3652301+06:00"
2023-10-17 12:28:23.365 +06:00 [INF] queue empty : "2023-10-17T12:28:23.3653431+06:00"
2023-10-17 12:28:33.366 +06:00 [INF] Worker running at: "2023-10-17T12:28:33.3667532+06:00"
2023-10-17 12:28:33.366 +06:00 [INF] queue empty : "2023-10-17T12:28:33.3669513+06:00"
2023-10-17 12:28:43.379 +06:00 [INF] Worker running at: "2023-10-17T12:28:43.3798165+06:00"
2023-10-17 12:28:43.379 +06:00 [INF] queue empty : "2023-10-17T12:28:43.3799887+06:00"
2023-10-17 12:28:53.392 +06:00 [INF] Worker running at: "2023-10-17T12:28:53.3928599+06:00"
2023-10-17 12:28:53.392 +06:00 [INF] queue empty : "2023-10-17T12:28:53.3929464+06:00"
2023-10-17 12:29:03.405 +06:00 [INF] Worker running at: "2023-10-17T12:29:03.4053236+06:00"
2023-10-17 12:29:03.405 +06:00 [INF] queue empty : "2023-10-17T12:29:03.4055099+06:00"
2023-10-17 12:29:13.420 +06:00 [INF] Worker running at: "2023-10-17T12:29:13.4208384+06:00"
2023-10-17 12:29:13.420 +06:00 [INF] queue empty : "2023-10-17T12:29:13.4209397+06:00"
2023-10-17 12:29:23.424 +06:00 [INF] Worker running at: "2023-10-17T12:29:23.4246827+06:00"
2023-10-17 12:29:23.424 +06:00 [INF] queue empty : "2023-10-17T12:29:23.4248974+06:00"
2023-10-17 12:35:28.793 +06:00 [INF] Application Starting up
2023-10-17 12:35:30.298 +06:00 [INF] Worker running at: "2023-10-17T12:35:30.2903573+06:00"
2023-10-17 12:35:30.303 +06:00 [INF] queue empty : "2023-10-17T12:35:30.3038146+06:00"
2023-10-17 12:35:40.301 +06:00 [INF] Worker running at: "2023-10-17T12:35:40.3016457+06:00"
2023-10-17 12:35:40.301 +06:00 [INF] queue empty : "2023-10-17T12:35:40.3019570+06:00"
